id_ubicacion,propiedades aseguradas,monto asegurado,primas emitidas,propiedades aseguradas,monto asegurado.1,id_tipo construcción,year,idcountry
9,38405,98974,280653,95886,245049,4,2021,2
10,33815,79635,243231,88971,214765,4,2021,2
11,126030,303064,2545222,319431,803899,4,2021,2
12,97073,224949,2249647,241917,596293,4,2021,2
13,188265,437614,4020480,416656,1056455,4,2021,2
14,139933,340731,3196840,328299,837757,4,2021,2
15,41826,80413,270138,97323,220126,4,2021,2
16,16589,40198,131268,44784,111158,4,2021,2
17,19315,39728,128669,51555,113581,4,2021,2
18,12244,29641,104550,36851,91915,4,2021,2
19,13393,30448,173131,38787,91008,4,2021,2
20,31959,79185,237978,82086,207569,4,2021,2
21,39156,84209,273433,103041,235925,4,2021,2
22,55837,126916,1230479,136153,335299,4,2021,2
23,131435,277347,1434154,308142,713200,4,2021,2
24,25433,55956,308028,62148,144906,4,2021,2
25,20011,44973,133846,49758,116563,4,2021,2
26,42149,106463,339577,105247,276762,4,2021,2
27,122260,321567,1624491,292779,792220,4,2021,2
28,64299,157287,492868,160052,408021,4,2021,2
29,20753,56539,184137,55167,155374,4,2021,2
30,12977,29755,183113,35961,85254,4,2021,2
